Code,Name,Series,Time,Type,Section
MATHF211,Mathematics III,M,12,"Lecture,3",JK Sahoo
MATHF211,Mathematics III Tutorial,M,8,Tutorial,Bibekananda Sitha
CSF222,Discrete Math for CS,M,10,"Lecture,3",Anup Basil Mathew
CSF222,Discrete Math Tutorial,W,8,Tutorial,Teaching Assistants
CSF214,Logic in CS,M,11,"Lecture,3",A Baskar
CSF214,Logic in CS Tutorial,T,8,Tutorial,A Baskar
CSF215,Digital Design,M,9,"Lecture,3",Ravi Kadlimatti
CSF215,Digital Design Tutorial,F,17,Tutorial,Ravi Kadlimatti
CSF215,Digital Design Lab,T,14-16,Lab,Hrishikesh Sonalikar
GSF322,Critical Analysis of Literature and Cinema,T,9,"Lecture,3",Geeta B
CSF213,Object Oriented Programming,T,10,"Lecture,3",Neena Goveas
CSF213,Object Oriented Programming Lab,Th,16-18,Lab,Group VIII
